text,label
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,balance_not_updated_after_cheque_or_cash_deposit
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",card_payment_wrong_exchange_rate
I found a charge for a direct debit that was not made by me.,direct_debit_payment_not_recognised
What do I need to do to transfer my paycheck to my account?,receiving_money
"I prefer using Mastercard, can I substitute?",visa_or_mastercard
I got charged for with a fee for paying with my card.,card_payment_fee_charged
Where do I order a virtual card from?,getting_virtual_card
Where can I find your exchange rates?,exchange_rate
Where is my money transfer?,transfer_timing
I have a reverted top up I made and wanted to know why it didn't go through.,top_up_reverted
Which merchants accept this card?,card_acceptance
Why did I get a fee from the ATM?,cash_withdrawal_charge
"Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?",reverted_card_payment?
How do I set-up my PIN for the new card?,get_physical_card
How do I activate my card that just arrived?,activate_my_card
"I'm looking in the App and can't find my PIN, where should I look?",get_physical_card
I would like to transfer some money from my other bank account into this one.,transfer_into_account
How do I dispute a debit that I didn't make?,direct_debit_payment_not_recognised
I think I see a withdraw I did not make.,cash_withdrawal_not_recognised
can you check why I wasn't able to top up?,top_up_failed
how do i get a card if i am in the usa,country_support
What ATMs accept my card?,atm_support
What is the max I can top up?,top_up_limits
I used an ATM and there was an extra charge.,cash_withdrawal_charge
I just got married and I need to change my name,edit_personal_details
Does this app allow currencies to be exchanged?,exchange_via_app
I did a transfer and was charged a fee that I shouldn't have been!,transfer_fee_charged
The app won't let me top up my account,top_up_failed
I noticed additional charges when transferring?,transfer_fee_charged
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.,card_payment_fee_charged
I need more assistance with how to activate my card.,activate_my_card
What went wrong when I tried to do my transfer?,failed_transfer
The exchange rate is incorrect for my payment.,card_payment_wrong_exchange_rate
Can you explain your exchange rates basis?,exchange_rate
"I do not like this, I made a simple transfer but I have an additional charge for doing so.",transfer_fee_charged
There are a couple payments with my card in the app I see that I didn't create. What is happening? Maybe someone gained access to my account.,card_payment_not_recognised
I'm being asked for a verification code. Where do I find it?,verify_top_up
My card hasn't shown up yet.,card_arrival
How can I stop fraud on my account right now?,compromised_card
Can I directly deposit my salary to this account?,receiving_money
It didn't give me my cash,wrong_amount_of_cash_received
Can I give my friends access to my account so they can top it up for me?,topping_up_by_card
"I deposited a cheque, but my account balance stayed the same.",balance_not_updated_after_cheque_or_cash_deposit
My card failed to work when I was shopping in a store,declined_card_payment
Is it possible to make several disposable cards in a day?,disposable_card_limits
Can I get a spare card for someone else to use?,getting_spare_card
Please tell me how to get a physical card.,order_physical_card
I want to set up an auto top-up,automatic_top_up
Are there restrictions on new cards in China?,card_about_to_expire
I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?,balance_not_updated_after_cheque_or_cash_deposit
I bought something and now I want a refund.,request_refund
Will there be a charge for topping up by account with a SEPA transfer?,top_up_by_bank_transfer_charge
Is there a transaction limit for a disposable card?,disposable_card_limits
I was charged multiple times for one purchase,transaction_charged_twice
ATM apparently not working?  Couldn't access funds in my account?,declined_cash_withdrawal
I think the atm ate my card.,card_swallowed
Activate my card,activate_my_card
I went to the Notting Hill ATM to use my card the first time for a cash withdrawal but it didn't work. Does this mean that my card isn't working yet?,declined_cash_withdrawal
Can I use this app to change dollars into euros?,exchange_via_app
Why are there so many fees on my statement?,extra_charge_on_statement
I want one of the virtual cards!,getting_virtual_card
"When will I get a new card when I order it, and how much will it cost.",card_about_to_expire
Why am I not able to verify my id?,unable_to_verify_identity
I made a transfer into my account and now I need to cancel it,cancel_transfer
"Please help in finding my card PIN, thank you!",get_physical_card
I received duplicate charges.,transaction_charged_twice
my cash balance less than what I thought,wrong_amount_of_cash_received
Why is the refund not on my statement?,Refund_not_showing_up
Do you accept other currencies besides US Dollars?,supported_cards_and_currencies
I wish to cancel a transfer,cancel_transfer
I bought something in a foreign currency but the rate applied is wrong!,card_payment_wrong_exchange_rate
I added money to the card but the transaction didn't go through,pending_top_up
"A few weeks ago, a strange transaction was made on my account by a seller I don't know. I am quite sure I didn't do it and will like for you to check it for me.",direct_debit_payment_not_recognised
How can I top up my Google Pay?,apple_pay_or_google_pay
How and where can I find the identity checks?,verify_my_identity
I am unable to access my app due to forgetting my passcode.,passcode_forgotten
I paid with a card and there is an extra charge. Why?,card_payment_fee_charged
"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer
Which fiat currencies do you support?,fiat_currency_support
cash deposit to my account has shown a red flag.,balance_not_updated_after_cheque_or_cash_deposit
Does your app allow currency exchanges between USD and GBP?,exchange_via_app
"On my transfer there was a ""decline"" message",declined_transfer
Do you charge extra for topping up with a debit or credit card?,top_up_by_card_charge
"When I travel, can it automatically add money in certain intervals?",automatic_top_up
For how long will my transfer be pending?,pending_transfer
A transaction is repeated several times on my account.,transaction_charged_twice
"Please help me with the amount that i have withdrawn from the ATM today, the ATM has given me wrong sum of amount, and i could see that the app is displaying the greater amount than taken out.",wrong_amount_of_cash_received
How long does it take for pending to go through,pending_transfer
The incorrect rate was used in my foreign purchase,card_payment_wrong_exchange_rate
The ATM cancelled a transaction on me when I was trying to get some cash out.,declined_cash_withdrawal
Is a physical card also available,order_physical_card
"It's been more than a week since I had a return charged to my card, why hasn't it showed up?",Refund_not_showing_up
I was trying to top-up and my credit card was declined. Can you tell me why?,top_up_failed
My top-up was declined,top_up_failed
"If i'm not in the UK, can I still get a card?",country_support
Can I wait for you to send me a new card when mine's about to expire?,card_about_to_expire
My Virtual card was rejected for a car rental. Why?,virtual_card_not_working
I don't recognise a cash withdrawal,cash_withdrawal_not_recognised
"If I only have 1 other US card, can you take it?",supported_cards_and_currencies
The ATM didn't give me what I asked for but my balance says it did,wrong_amount_of_cash_received
How can I prove I am me?,verify_my_identity
my cash withdrawal has not come out of my account yet.,pending_cash_withdrawal
How do I update my PIN to a new number?,change_pin
I have been charged twice this week for a couple of things on my card. Can you please check this out for me and return the double charged items back?,transaction_charged_twice
I couldn't get cash at the atm,declined_cash_withdrawal
Can you tell me where you get your exchange rates?,exchange_rate
Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,transfer_not_received_by_recipient
"My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help?",top_up_reverted
"My transfer failed, why?",failed_transfer
What do I do if my PIN was blocked?,pin_blocked
I've tried using my card multiple times and it keeps getting declined.,declined_card_payment
I can't verify my ID.,unable_to_verify_identity
Will I be charged for a cash withdrawal?,cash_withdrawal_charge
I want a real card,order_physical_card
Is it possible to get a card if I'm not in the UK?,country_support
Can you tell me what currency I can have?,fiat_currency_support
"I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do?",virtual_card_not_working
Where do I go to see the source of my available money?,verify_source_of_funds
Is there a way you can have money from a purchase I made refunded to my account.,request_refund
"My cash withdrawal is showing as pending, why?",pending_cash_withdrawal
How do I exchange AUD for GBP?,exchange_via_app
Can I reset the passcode?,passcode_forgotten
Cancel Transaction,cancel_transfer
I have been waiting for my top-up to complete and it still hasn't gone through.,pending_top_up
There is a transaction for $1 and I don't know why it was charged.,extra_charge_on_statement
Can you help me sign up for a virtual card?,getting_virtual_card
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,card_payment_wrong_exchange_rate
How old does my kids need to be to open an account?,age_limit
"Can you help me with my card, I think it's broke.",card_not_working
Im not sure why Im being charged an extra fee just for purchasing an item from another country? I paid for the item and the shipping why am I getting charged extra?,transfer_fee_charged
"How come you charge for cash withdrawals? I withdrew cash after buying groceries today, and there seems to be a new fee",cash_withdrawal_charge
My daughter needs to open account.,age_limit
I sent some money but the intended recipient says it hasn't arrived,transfer_not_received_by_recipient
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival
What is the charge for topping up a card?,top_up_by_card_charge
If my card was lost or stolen can I re-link it?,card_linking
I have a strange payment in my statement,card_payment_not_recognised
My contactless is non-functional.,contactless_not_working
My top-up didn't go through,top_up_failed
I placed my order a week ago. Is it ok that my card isn't here yet?,card_delivery_estimate
"My card payment is just showing up as pending and it has been a while , what's going on with that, it should be going through at some point?",pending_card_payment
I can't use the app because I got mugged yesterday and they took everything. Please help.,lost_or_stolen_phone
What should I do if I see a payment I didn't make?,card_payment_not_recognised
"Looks like my card payment was made twice by mistake. I went to pay at the store earlier which rejected once, second time it worked. App is on pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice
Do I need to go to an office to change my pin?,change_pin
I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,pending_top_up
Is it permissible to hold money in multiple currencies?,fiat_currency_support
My top-up appears to be pending.,pending_top_up
If I wanted to make a change from GBP to AUD what is the process?,exchange_via_app
The card payment I attempted to make failed.,declined_card_payment
What are acceptable documents to prove my identity?,verify_my_identity
Why was my exchange rate a different amount than usual?,card_payment_wrong_exchange_rate
Trouble with my top up,top_up_failed
can I transfer my salary if it's in a different currency?,receiving_money
"I normally have no issues making transfers, so why am I suddenly being told it is not possible?",beneficiary_not_allowed
Where would I find top up by cash deposit?,top_up_by_cash_or_cheque
I couldn't transfer money to a beneficiery,beneficiary_not_allowed
I would like to cancel my previous purchase.,request_refund
What exchange rates do you use?,exchange_rate
I don't understand why I was charged extra for withdrawing money?,cash_withdrawal_charge
"Why did I get charged for something I bought online? Even though it was international, I thought it would be covered.",transfer_fee_charged
Is it free to transfer money or is there a fee?,transfer_fee_charged
Can I get a card that works in other countries like Africa and Indonesia?,country_support
I would like to reactivate a card and wondered if that could be done?,card_linking
My card was topped this morning but I can't see the funds. Why didn't it complete?,pending_top_up
"The ATM will not let me get cash, WHY?",declined_cash_withdrawal
Card activation is not working. What do i do?,activate_my_card
Besides USD what other currencies can I have?,fiat_currency_support
How do you Top Up on the apple watch?,apple_pay_or_google_pay
May I get a disposable virtual card as well?,get_disposable_virtual_card
The new card that was just sent to me was declined multiple times yesterday when I tried to use it at a restaurant to pay for my dinner.  I am really disappointed  and embarrassed that my card was denied when I tried to use it to pay for my friend's birthday dinner.,declined_card_payment
Why is there a fee for doing a transfer?,transfer_fee_charged
Do I have to use a bank approved ATM to withdraw money?,atm_support
Which countries do you currently support?,country_support
What are the currencies and cards that are supported with my account?,supported_cards_and_currencies
is there a fee for a transfer? if so how much will it be?,top_up_by_bank_transfer_charge
"I couldn't transfer money to my bank, why not?",beneficiary_not_allowed
Are there any restrictions on where I use this card?,card_acceptance
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival
An item I bought had the wrong exchange rate applied.,card_payment_wrong_exchange_rate
"I recently got a new place while I'm staying abroad and have been using this account to manage payments, but suddenly I am seeing fees increase. Where are these additional fees coming from?",transfer_fee_charged
how much for topping up by card?,top_up_by_card_charge
What currencies does google pay top up accept?,apple_pay_or_google_pay
Is there an auto top up feature?,automatic_top_up
I am seeing an extra fee on my statement what is that for?,extra_charge_on_statement
I am still waiting for a transaction to be completed,transfer_not_received_by_recipient
How come I was charged an extra fee when paying with the card?,card_payment_fee_charged
"I want to top up using cash, where can I do that?",top_up_by_cash_or_cheque
what happened to the money after i put in the wrong info and it got declined,topping_up_by_card
Is there a possibility to open an account for my sons and daughters?,age_limit
Can I change my PIN on holiday?,change_pin
How do I link my replacement card?,card_linking
Can you explain why the ATM is giving me less money than what I asked for?,wrong_amount_of_cash_received
I'd like to know why my top-up was canceled please.,top_up_reverted
Could you inform me as to why I have been charged a higher fee for doing banking abroad.,transfer_fee_charged
I used my card the other day to get cash from an ATM and was charged an extra fee. I don't understand why I am being charged a fee all of a sudden. I thought it was free to withdraw from an ATM?,cash_withdrawal_charge
"I'm waiting for a transfer from the US, how much longer?",transfer_timing
"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?",Refund_not_showing_up
what is the price of a transfer?,top_up_by_bank_transfer_charge
"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue ?",failed_transfer
What kind of security protects my money?,verify_source_of_funds
How do I become aware of where my funds come from?,verify_source_of_funds
"Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money.",cash_withdrawal_not_recognised
Why do you need my name and ID,why_verify_identity
My card data has been exposed.,compromised_card
I transferred some money but I think it has gotten lost somewhere.,balance_not_updated_after_bank_transfer
"I used my card to make a payment a while ago and its still pending, Why is it taking so long?",pending_card_payment
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival
With one disposable card how many transactions can i do?,disposable_card_limits
How do I get a virtual card on my device?,getting_virtual_card
Help me locate the nearest ATM.,atm_support
Why did I have to pay an additional amount when using my card to pay?,card_payment_fee_charged
There is a pending transaction on my account for when I tried to get money from the ATM earlier and it did not work. Can you fix this?,pending_cash_withdrawal
How do i top up my google pay?,apple_pay_or_google_pay
The applied exchange rate is wrong for the cash I got abroad.,wrong_exchange_rate_for_cash_withdrawal
Using international ATMs messes up the exchange rate.,wrong_exchange_rate_for_cash_withdrawal
I saw there is a cash withdrawal from my account via the app which I did not complete.,cash_withdrawal_not_recognised
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking
My balance doesn't include my latest transfer,balance_not_updated_after_bank_transfer
"If US cards have a top up charge, what is it?",top_up_by_card_charge
I got money overseas and the exchange rate was wrong,wrong_exchange_rate_for_cash_withdrawal
"Looks like my card payment was made two time by mistake. I went to pay at the store earlier which rejected once, second time it worked. App is on pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice
Am I able to order a new card and have it sent to me in China?,card_about_to_expire
When will my new card be delivered?,card_arrival
How long will it take to get to me?,card_delivery_estimate
Can you explain why my transfer was unsuccessful?,failed_transfer
There is a debit transaction on my statement that I did not make,direct_debit_payment_not_recognised
Can I use check to deposit?,top_up_by_cash_or_cheque
There is payment showing that I didn't do.,card_payment_not_recognised
Where do my available funds come from?,verify_source_of_funds
Do I have to pay for exchanging currencies?,exchange_charge
What do I have to do to get a Visa card?,visa_or_mastercard
"I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers?",transfer_fee_charged
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",card_linking
I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended.,compromised_card
My non-physical card will not work,virtual_card_not_working
How many card payments can I use on a disposable card?,disposable_card_limits
I don't know why my payment didn't work.,declined_card_payment
What should I do?  I topped off but the app reversed  it.,top_up_reverted
Can I see where my money came from?,verify_source_of_funds
Do I pay extra for exchange?,exchange_charge
"I'm in Austria right now, but I really need to change my PIN right now. Can I do this even though I'm in another country?",change_pin
I didn't get my card back from the ATM.,card_swallowed
What are my bank details so I can do a transfer?,transfer_into_account
I haven't received the cash from the check I deposited.,balance_not_updated_after_cheque_or_cash_deposit
"Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there.",failed_transfer
I was charged a hidden fee when I paid with card.,card_payment_fee_charged
What's the deal? My card was just denied for top up. Why is it not going through?,top_up_failed
what steps do you take to check identity,verify_my_identity
How do you top-up using cash?,top_up_by_cash_or_cheque
"Hello there, I tried using crypto top up today but it's not working for me, might it be due to the kind of bank I'm using or the country that I'm from?Money is also missing from my account",top_up_reverted
When will my card be delivered?,card_delivery_estimate
My card hasn't arrived.,card_arrival
Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,declined_card_payment
How long does it take to get a refund on something I bought?,request_refund
"I found my card, I would like to reactivate it.",card_linking
atm would not give me cash,declined_cash_withdrawal
Why do I have to give you all of my identification details?,why_verify_identity
"For adding money, which currencies do you accept?",supported_cards_and_currencies
I didn't make this payment!,card_payment_not_recognised
The app won't identify me.,unable_to_verify_identity
Is there a limit to the top-ups someone can do?,top_up_limits
"i tried using a virtual card for a hotel but it didn't work, why not",disposable_card_limits
Where did the  €1 fee in my statement come from,extra_charge_on_statement
My card hasn't arrived yet. What do I do?,card_arrival
I sent a check into the system but still haven't received the cash yet,balance_not_updated_after_cheque_or_cash_deposit
"My phone was stolen, what should I do first?",lost_or_stolen_phone
I was unable to make a transfer to another account.,beneficiary_not_allowed
Are there any charges for top ups?,top_up_by_card_charge
Help me figure out why my transfer was declined,declined_transfer
Where are my funds being sourced from?,verify_source_of_funds
I cant get money out of the ATM with my card.  I just put my card in the ATM but it will not allow me to take any money out.  What do I need to do to fix this?,declined_cash_withdrawal
Can you let me know why my cash withdrawal is still pending?,pending_cash_withdrawal
What are the time frames for the money to be available in my account?,transfer_timing
How does tranferring money into my account work?,transfer_into_account
Why is there an additional fee showing on the statement I received?,extra_charge_on_statement
Please help me set up a new PIN.,change_pin
why hasn't my virtual card arrived?,getting_virtual_card
Why isn't my cash deposit showing up in my account? I deposited it this morning.,balance_not_updated_after_cheque_or_cash_deposit
"More fees, this time for withdrawing my own cash. Why are you robbing me?",cash_withdrawal_charge
Am I able to stop a transfer?,cancel_transfer
How long will it take to transfer something from China?,transfer_timing
I didn't receive the amount of cash I requested for the ATM.,wrong_amount_of_cash_received
What are the restrictions to top-offs?,top_up_limits
I sent money and the recipient has not received their money after two weeks.,transfer_not_received_by_recipient
"How long does it take for transfers to be approved?  I sent funds to my girlfriend, and she says that she has not seen any approved funds in her account.",transfer_not_received_by_recipient
Is it normal to be charged an extra fee when paying with my card?,card_payment_fee_charged
How do I get my card PIN?,get_physical_card
I'm pretty sure something went wrong with my exchange. I changed Russian Ruble to UK pounds and was charged way too much!,card_payment_wrong_exchange_rate
I can't use the app.  My phone is lost at the hotel.,lost_or_stolen_phone
Can friends transfer money to each other?,receiving_money
Why isn't my transfer going through? I get a message saying it's not possible. I've had no issues in the past.,beneficiary_not_allowed
"Is there a top-up feature, if there isn't a lot of money left?",automatic_top_up
How long is the wait for a US transfer?,transfer_timing
How to verify top up card?,verify_top_up
Are top-ups allowed using Apple Pay?,apple_pay_or_google_pay
I would like a refund on the extra pound I was charged.,extra_charge_on_statement
I don't think my card payment exchange rate is correct.,card_payment_wrong_exchange_rate
My money is all gone. What ways are okay to add money to my account?,transfer_into_account
I don't have my mobile device and am unable to make the payment because I forgot my details.,lost_or_stolen_phone
Is there a maximum amount of top-ups?,top_up_limits
Am I free to top-up as much as I want?,top_up_limits
To receive money are there charges?,top_up_by_bank_transfer_charge
I want to use a European bank card for a top up. Must I pay?,top_up_by_card_charge
I believe my card payment has reverted,reverted_card_payment?
Can I make an account for my daughter?,age_limit
Is there a disposable virtual card?,get_disposable_virtual_card
"I was doing a transfer and received a ""decline"" message.",declined_transfer
My card doesn't seem to work anymore,card_not_working
I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!,wrong_amount_of_cash_received
I have been waiting over a week. Is the card still coming?,card_arrival
When will my balance reflect a deposit?,balance_not_updated_after_cheque_or_cash_deposit
May I get one of your cards?  I live in the EU.,country_support
Are your cards available in Europe?,country_support
What is the top up code for?,verify_top_up
I can't get my virtual card to work at all,virtual_card_not_working
Can I get my paycheck through here?,receiving_money
"I noticed a fee, while banking abroad, that seems different than any I have been charged before. What does this fee mean?",transfer_fee_charged
What is the cost for an exchange fee?,exchange_charge
My transaction is still showing that is pending from my cash withdrawal.,pending_cash_withdrawal
My wallet was stolen and all my credit cards were in there.  HELP?!!?,compromised_card
Why did I only receive a partial amount of what I tried to withdraw?,wrong_amount_of_cash_received
My transfer is still coming up as pending.,pending_transfer
What do I do when my card expires?,card_about_to_expire
Can I pay more to get it deliver quicker?,card_delivery_estimate
Do I have a $1 extra fee on the statement?,extra_charge_on_statement
Why is my identity verification process not working?,unable_to_verify_identity
What places will accept my card?,card_acceptance
How do I make sure my transfer isn't goin to an unsupported merchant?,declined_transfer
How much does it cost to make transfers?,top_up_by_bank_transfer_charge
I don't think the exchange rate was right.,wrong_exchange_rate_for_cash_withdrawal
My cash in the ATM is still pending,pending_cash_withdrawal
How do I get a refund for something I bought?,request_refund
I need to cancel my recent transfer quickly since I made a mistake. Please help before it goes through.,cancel_transfer
Where is the top-up verification code sent?,verify_top_up
My card is stolen.  Help!,lost_or_stolen_card
can I top up an apple pay?,apple_pay_or_google_pay
Are there any places that I can't use the disposable cards at?,disposable_card_limits
I deposited cash but it isn't showing up in my account,balance_not_updated_after_cheque_or_cash_deposit
I don't understand where this debit came from and want it removed.,direct_debit_payment_not_recognised
Why is it taking so long to update my balance transfer?,balance_not_updated_after_bank_transfer
"what is going on, i have entered my passcode and its not working",passcode_forgotten
Are there directions to get a new passcode if I forgot mine?,passcode_forgotten
When can I expect a transfer from Europe to go through?,transfer_timing
Where can I edit personal details?,edit_personal_details
I need it delivered by Saturday.,card_delivery_estimate
The cash abroad exchange rate is applied wrong.,wrong_exchange_rate_for_cash_withdrawal
How much is the limit for top-ups?,top_up_limits
Where do I pay with my card?,card_acceptance
Can I use American express with apple pay? Why does it make my top up not work?,apple_pay_or_google_pay
Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,wrong_exchange_rate_for_cash_withdrawal
What is your opinion on the exchange rate?,exchange_rate
Can I see the source of my available money?,verify_source_of_funds
Are you Visa or Mastercard?,visa_or_mastercard
What do I do if I can't access the app?,lost_or_stolen_phone
"When I went to get cash, it was declined!",declined_cash_withdrawal
I forgot my code,passcode_forgotten
Where are my funds? I topped off my car but it didn't seem to complete.,pending_top_up
"I tried to top-up, why didn't it work?",top_up_failed
There is a direct debit payment that I did not make.,direct_debit_payment_not_recognised
Tell me how to setup a new PIN.,change_pin
It looks like my card payment was sent back.,reverted_card_payment?
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",failed_transfer
Why was the payment on my card declined?,declined_card_payment
I would prefer a Mastercard.,visa_or_mastercard
I'm unable to use contactless payments for purchases.,contactless_not_working
Can someone else use my account if they have my phone?  I lost mine.,lost_or_stolen_phone
Does it cost anything and how long would it take to get a card if I need a new one? My card is about to expire.,card_about_to_expire
What are the benefits to verifying the top-up?,verify_top_up
"I tried using a check to update my balance, but it isn't work? Is something wrong?",balance_not_updated_after_cheque_or_cash_deposit
wheres my pin,get_physical_card
what do i need to have with me to activate card,activate_my_card
I believe my card has been compromised because of a strange withdrawal,cash_withdrawal_not_recognised
Do the disposable cards have a transaction limit?,disposable_card_limits
"I'm not certain, but someone may be using my card.",compromised_card
Is auto top up available?,automatic_top_up
I think the payment from my card was revereted,reverted_card_payment?
Am I able to use my American Express to add money to my account balance?,supported_cards_and_currencies
"My card arrived but I need to make it work in the app, how do I do that?",card_linking
Is it possible to use Apple Pay to put money in my account?,apple_pay_or_google_pay
What are the fees for top-ups?,top_up_by_bank_transfer_charge
Is it possible to delete the account?,terminate_account
The right amount of cash was not sent to me.,wrong_amount_of_cash_received
Can someone assist me with the details explaining which fiat currencies that you support?,fiat_currency_support
"In reviewing my statement, I show I have two charges for the same purchase at the same time, which I have not made in duplicate? How do I get this solved?",transaction_charged_twice
I need to order a new card as my other one was stolen.,lost_or_stolen_card
How old do you need to be to open an account?,age_limit
Can I get an update on my replacement card?,card_arrival
dont understand why transfer failed,failed_transfer
Why can't I see my topup in my wallet anymore?,topping_up_by_card
Am I able to cancel a transfer I just made,cancel_transfer
How can I get a second card for my daughter?,getting_spare_card
I think my card payment has been stopped,reverted_card_payment?
How do I track the card you sent me?,card_arrival
I want to end my account,terminate_account
What is your exchange rate between UK pounds and Russian rubles for my last transaction,card_payment_wrong_exchange_rate
My card payment is showing pending however this transaction was a couple of days ago. Is there a reason why it it still pending?,pending_card_payment
Why did my top up not work?,top_up_failed
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,card_payment_wrong_exchange_rate
Why is there a transaction that shows multiple times?,transaction_charged_twice
How long will this card payment stay pending?,pending_card_payment
I was the victim of someone stealing my wallet.  My card is being used and it isn't me.  What should I do?,cash_withdrawal_not_recognised
"Hey, I have my card, how do I get it to show in the app?",card_linking
How can I find the top-up verification code?,verify_top_up
What card or currency can I use to pay?,supported_cards_and_currencies
What information do I need to gather in order to activate my card?,activate_my_card
I got double charged!,transaction_charged_twice
What kind of fees will I pay when I transfer?,transfer_fee_charged
There's a payment in my history I don't recognize,card_payment_not_recognised
When will my top up process?,pending_top_up
What is the importance of verifying the top-up?,verify_top_up
How can I tell if my top-up has been cancelled?,top_up_reverted
Can you tell me what the exchange fee is?,exchange_charge
there is a transaction on my account that i didnt make,card_payment_not_recognised
"I need to reset my passcode, this one isn't working",passcode_forgotten
When will I get my money? It's been too long.,transfer_not_received_by_recipient
"I want a Mastercard, instead.",visa_or_mastercard
I would like a  physical card sent to me.,order_physical_card
Why was I charged a random fee for a transfer I made?,transfer_fee_charged
Why can't I verify my id?,unable_to_verify_identity
My card didn't work at the ATM in Notting Hill.  Is my card working?,declined_cash_withdrawal
Where do I find the verification code for the card I'm topping up?,verify_top_up
Do you charge for transfers?,top_up_by_bank_transfer_charge
I'm trying to use a cheque to top up,top_up_by_cash_or_cheque
I am in the EU. Can I get one of your cards?,country_support
Where is my PIN located?,get_physical_card
When can I expect money to be transferred to my account?,transfer_timing
beneficiary transfer problems?,beneficiary_not_allowed
Why are all my card payments being declined?,declined_card_payment
I need to know the cost and when I will receive a new card to replace an old one.,card_about_to_expire
Can you explain why my payment was charged a fee?,card_payment_fee_charged
There is a odd withdrawal on my account.,cash_withdrawal_not_recognised
"In the app, where do I find my card PIN?",get_physical_card
Can I request a card?,order_physical_card
